latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35.70914,4.47386,305.33,0.6,0.71,2026-08-19,43,N,VIIRS,n,2.0NRT,294.07,1.57,N
35.87741,4.44371,307.45,0.61,0.71,2026-08-19,43,N,VIIRS,n,2.0NRT,295.7,1.1,N
36.56085,3.66277,305.03,0.68,0.74,2026-08-19,43,N,VIIRS,n,2.0NRT,294.25,2.02,N
36.56122,3.66542,306,0.68,0.74,2026-08-19,43,N,VIIRS,n,2.0NRT,294.65,1.92,N
36.59599,2.87561,304.78,0.75,0.77,2026-08-19,43,N,VIIRS,n,2.0NRT,294.2,0.49,N
36.67747,3.11926,309.4,0.72,0.76,2026-08-19,43,N,VIIRS,n,2.0NRT,296.18,2.19,N
42.82679,-0.8775,326.04,0.41,0.37,2026-08-19,221,N,VIIRS,n,2.0NRT,292.91,4.74,N
42.8277,-0.88252,339.27,0.41,0.37,2026-08-19,221,N,VIIRS,n,2.0NRT,297.91,4.74,N
43.18677,0.9914,302.1,0.46,0.39,2026-08-19,221,N,VIIRS,n,2.0NRT,291.71,0.93,N
43.43359,4.89414,305.74,0.44,0.46,2026-08-19,221,N,VIIRS,n,2.0NRT,294.88,2.17,N
43.44591,4.89961,330,0.44,0.46,2026-08-19,221,N,VIIRS,n,2.0NRT,295.52,2.64,N
43.44716,4.89434,308.92,0.44,0.46,2026-08-19,221,N,VIIRS,n,2.0NRT,294.55,1.8,N
35.70826,4.47699,316.36,0.32,0.55,2026-08-19,224,N,VIIRS,n,2.0NRT,295.7,0.81,N
35.70874,4.47766,315.49,0.32,0.55,2026-08-19,224,N,VIIRS,n,2.0NRT,295.89,0.97,N
35.87934,4.44992,303.66,0.32,0.55,2026-08-19,224,N,VIIRS,n,2.0NRT,293.41,1.06,N
35.8802,4.44651,320.31,0.32,0.55,2026-08-19,224,N,VIIRS,n,2.0NRT,296.99,1.06,N
36.12746,1.24358,320.36,0.43,0.46,2026-08-19,224,N,VIIRS,n,2.0NRT,299.86,3.25,N
36.13774,2.92996,307.87,0.52,0.5,2026-08-19,224,N,VIIRS,n,2.0NRT,291.54,0.55,N
36.17905,3.7483,316.34,0.58,0.52,2026-08-19,224,N,VIIRS,n,2.0NRT,294.11,2.87,N
36.56045,3.6703,306.53,0.56,0.51,2026-08-19,224,N,VIIRS,n,2.0NRT,295.43,2.61,N
36.59726,3.70989,310.13,0.56,0.52,2026-08-19,224,N,VIIRS,n,2.0NRT,297.31,2.92,N
36.59751,2.88096,311.27,0.51,0.49,2026-08-19,224,N,VIIRS,n,2.0NRT,294.98,1.1,N
36.59911,3.13789,308.43,0.52,0.5,2026-08-19,224,N,VIIRS,n,2.0NRT,295.61,2.19,N
36.63059,3.23033,309.73,0.53,0.5,2026-08-19,224,N,VIIRS,n,2.0NRT,297,1.75,N
36.67976,3.12461,313.67,0.52,0.5,2026-08-19,224,N,VIIRS,n,2.0NRT,298.02,2.19,N
36.74777,3.0829,313,0.51,0.5,2026-08-19,224,N,VIIRS,n,2.0NRT,297.31,2.45,N
36.9676,-1.90395,312.87,0.45,0.39,2026-08-19,224,N,VIIRS,n,2.0NRT,298.52,2.2,N
37.29489,-4.97144,302.93,0.39,0.36,2026-08-19,224,N,VIIRS,n,2.0NRT,292.18,0.36,N
37.99273,-3.96029,307.2,0.39,0.36,2026-08-19,224,N,VIIRS,n,2.0NRT,296.29,0.46,N
38.37531,-0.54253,308.92,0.48,0.4,2026-08-19,224,N,VIIRS,n,2.0NRT,296.12,1.37,N
38.50034,-8.9386,304.22,0.46,0.39,2026-08-19,224,N,VIIRS,n,2.0NRT,291.59,0.63,N
38.92094,-9.01112,322.86,0.46,0.39,2026-08-19,224,N,VIIRS,n,2.0NRT,295.24,2.7,N
39.68688,-8.90619,303.09,0.47,0.4,2026-08-19,224,N,VIIRS,n,2.0NRT,292.42,0.91,N
39.93468,-3.74435,306.5,0.39,0.36,2026-08-19,224,N,VIIRS,n,2.0NRT,295.87,1.08,N
39.93797,-3.74344,311.74,0.39,0.36,2026-08-19,224,N,VIIRS,n,2.0NRT,297.2,1.08,N
39.97057,-4.17296,302.97,0.38,0.36,2026-08-19,224,N,VIIRS,n,2.0NRT,292.94,1.26,N
39.97385,-4.17207,322.45,0.38,0.36,2026-08-19,224,N,VIIRS,n,2.0NRT,296.48,1.26,N
40.0996,-6.36241,322.84,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,295.81,19.47,N
40.10026,-6.36707,324.25,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,298.83,4.5,N
40.10092,-6.37173,338.39,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,300.48,4.5,N
40.10159,-6.3764,316.4,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,294.35,5.85,N
40.10162,-6.35228,321.14,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,296.63,19.41,N
40.10229,-6.35693,354.36,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,312.83,19.47,N
40.10295,-6.36158,343.58,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,301.76,19.47,N
40.10361,-6.36623,322.11,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,299.13,4.5,N
40.10427,-6.37089,344.39,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,305.07,4.5,N
40.10564,-6.35611,367,0.4,0.37,2026-08-19,224,N,VIIRS,h,2.0NRT,310.21,11.19,N
40.1063,-6.36074,325.68,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,298.14,11.19,N
40.10696,-6.36539,318.58,0.4,0.37,2026-08-19,224,N,VIIRS,n,2.0NRT,297.31,4.13,N
